coefficient,taxon,coefficient_value
BF duration: ≥2 months,Actinomyces,-1.3934909329743197
BF duration: ≥2 months,Enterococcus,-0.3136705671243685
BF duration: ≥2 months,Clostridium_sensu_strict1,-1.188482845548674
BF duration: ≥2 months,Staphylococcus,0.5814020625179116
BF duration: ≥2 months,Bacteroides,0.39979723538052175
BF duration: ≥2 months,Intestinibacter,-0.7974810342733032
BF duration: ≥2 months,Lactobacillus,1.033098127192261
BF duration: ≥2 months,[Clostridium]_innocuum_group,-0.12814486643885586
BF duration: ≥2 months,Collinsella,-0.2548424144436638
BF duration: ≥2 months,Lactococcus,-0.08644946745759473
BF duration: ≥2 months,Dorea,0.8490935087109347
BF duration: ≥2 months,Veillonella,-0.5244150183602762
BF duration: ≥2 months,[Ruminococcus]_gnavugroup,-0.7647964184911231
BF duration: ≥2 months,Clostridioides,-0.8315678078329032
BF duration: ≥2 months,Sellimonas,-0.8143497863593315
BF duration: ≥2 months,Rothia,-0.2713826588182717
BF duration: ≥2 months,Eggerthella,0.6737086292788023
BF duration: ≥2 months,Tyzzerella,-0.7618804442730917
BF duration: ≥2 months,24_Enterobacteriaceae(F),-0.7466809106646501
BF duration: ≥2 months,Negativicoccus,0.7463493670837646
EBF duration: ≥2 months,Actinomyces,0.9623074189278369
EBF duration: ≥2 months,Enterococcus,-1.3389805147039846
EBF duration: ≥2 months,Clostridium_sensu_strict1,0.02114906125756019
EBF duration: ≥2 months,Staphylococcus,0.6499675756550553
EBF duration: ≥2 months,Bacteroides,0.769412823647487
EBF duration: ≥2 months,Intestinibacter,-1.0462874313102781
EBF duration: ≥2 months,Lactobacillus,0.18031346787547128
EBF duration: ≥2 months,[Clostridium]_innocuum_group,-0.4746669399243409
EBF duration: ≥2 months,Collinsella,0.09085922832235258
EBF duration: ≥2 months,Lactococcus,-0.8561908932704542
EBF duration: ≥2 months,Dorea,-0.6847430926520969
EBF duration: ≥2 months,Veillonella,-0.17217705510520967
EBF duration: ≥2 months,[Ruminococcus]_gnavugroup,-0.46698444583611803
EBF duration: ≥2 months,Clostridioides,0.3336657516891666
EBF duration: ≥2 months,Sellimonas,0.14910720665247934
EBF duration: ≥2 months,Rothia,-0.13787437942631547
EBF duration: ≥2 months,Eggerthella,-0.5810720222785287
EBF duration: ≥2 months,Tyzzerella,-0.08143218677833026
EBF duration: ≥2 months,24_Enterobacteriaceae(F),0.3945117915071531
EBF duration: ≥2 months,Negativicoccus,-0.371455413718005
Country: Austria,Actinomyces,0.1476107176526289
Country: Austria,Enterococcus,0.08188035868351698
Country: Austria,Clostridium_sensu_strict1,-0.41719651849881045
Country: Austria,Staphylococcus,-0.8397821649144549
Country: Austria,Bacteroides,0.13103740709498615
Country: Austria,Intestinibacter,-0.2514163378722396
Country: Austria,Lactobacillus,0.6913304008115112
Country: Austria,[Clostridium]_innocuum_group,0.07399793944376577
Country: Austria,Collinsella,-0.7355378652558175
Country: Austria,Lactococcus,-0.18545667385776018
Country: Austria,Dorea,-0.04479544687244791
Country: Austria,Veillonella,-0.2627976851993125
Country: Austria,[Ruminococcus]_gnavugroup,-0.016433377984775947
Country: Austria,Clostridioides,0.2223315020181352
Country: Austria,Sellimonas,0.05613027898830085
Country: Austria,Rothia,0.5587954606902582
