variable,contrast,group1,group2,taxon_id,mean_diff_clr,standardized_diff,coordinate_stat,valid_taxon,taxon
BF duration,BF duration,0 months,>=2 months,Intestinibacter,1.9301613170446499,0.9968823748753268,33.15813351349059,TRUE,Intestinibacter
BF duration,BF duration,0 months,>=2 months,Terrisporobacter,0.9630721338020081,0.9021862197902789,27.157802098671212,TRUE,Terrisporobacter
BF duration,BF duration,0 months,>=2 months,[Ruminococcus]_gnavugroup,1.2049895033240663,0.8407308310377819,23.583930629078825,TRUE,[Ruminococcus]_gnavugroup
BF duration,BF duration,0 months,>=2 months,Enterococcus,1.5375249522234826,0.6970430828075815,16.21143592947754,TRUE,Enterococcus
BF duration,BF duration,0 months,>=2 months,Granulicatella,0.47755341918374233,0.6540774698502287,14.274490644435268,TRUE,Granulicatella
BF duration,BF duration,0 months,>=2 months,Faecalitalea,0.46967777907416486,0.6473770094550251,13.983528916181328,TRUE,Faecalitalea
BF duration,BF duration,0 months,>=2 months,Clostridium_sensu_strict1,1.3396331223487539,0.6321824178665458,13.334817213188337,TRUE,Clostridium_sensu_strict1
BF duration,BF duration,0 months,>=2 months,Tyzzerella,0.7007695765497876,0.6258558320614195,13.069255483282905,TRUE,Tyzzerella
BF duration,BF duration,0 months,>=2 months,Lachnospiraceae_ND3007_group,-0.17796385651653923,-0.619071666341469,12.787454341350896,TRUE,Lachnospiraceae_ND3007_group
BF duration,BF duration,0 months,>=2 months,Lactococcus,0.7499527672199606,0.6118255325774997,12.489856092809706,TRUE,Lactococcus
BF duration,BF duration,0 months,>=2 months,Staphylococcus,-1.4260082478890383,-0.6085394838315243,12.356053049426617,TRUE,Staphylococcus
BF duration,BF duration,0 months,>=2 months,Lachnoanaerobaculum,-0.18928023508639036,-0.5995621369456092,11.994182104595575,TRUE,Lachnoanaerobaculum
BF duration,BF duration,0 months,>=2 months,8_Comamonadaceae(F),-0.1844460662312838,-0.5977113522736062,11.920246862221083,TRUE,8_Comamonadaceae(F)
BF duration,BF duration,0 months,>=2 months,Blautia,0.5781177088518294,0.5894489642081969,11.592968569843098,TRUE,Blautia
BF duration,BF duration,0 months,>=2 months,Sellimonas,0.6202953862976955,0.5802024345277526,11.232109643016624,TRUE,Sellimonas
BF duration,BF duration,0 months,>=2 months,Porphyromonas,-0.18949354195450663,-0.5721817265602477,10.92371116562316,TRUE,Porphyromonas
BF duration,BF duration,0 months,>=2 months,Pseudomonas,-0.2104095263830732,-0.5512465076413366,10.138972445646381,TRUE,Pseudomonas
BF duration,BF duration,0 months,>=2 months,Coprobacillus,0.2342149686224254,0.545171430228095,9.91672837182788,TRUE,Coprobacillus
