SampleID,group,taxon_id,rarefied_count,taxon,taxon_plot
s025647,non-EBF,Bifidobacterium,46,Bifidobacterium,Bifidobacterium
s025647,non-EBF,Blautia,2,Blautia,Blautia
s025647,non-EBF,Enterococcus,10,Enterococcus,Enterococcus
s025647,non-EBF,Intestinibacter,2,Intestinibacter,Intestinibacter
s025647,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s025647,non-EBF,Streptococcus,4,Streptococcus,Streptococcus
s025647,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s025647,non-EBF,[Ruminococcus]_gnavugroup,26,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s023779,non-EBF,Bifidobacterium,58,Bifidobacterium,Bifidobacterium
s023779,non-EBF,Blautia,0,Blautia,Blautia
s023779,non-EBF,Enterococcus,6,Enterococcus,Enterococcus
s023779,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s023779,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s023779,non-EBF,Streptococcus,1,Streptococcus,Streptococcus
s023779,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s023779,non-EBF,[Ruminococcus]_gnavugroup,3,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s026625,non-EBF,Bifidobacterium,57,Bifidobacterium,Bifidobacterium
s026625,non-EBF,Blautia,0,Blautia,Blautia
s026625,non-EBF,Enterococcus,0,Enterococcus,Enterococcus
s026625,non-EBF,Intestinibacter,1,Intestinibacter,Intestinibacter
s026625,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s026625,non-EBF,Streptococcus,1,Streptococcus,Streptococcus
s026625,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s026625,non-EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s022898,EBF,Bifidobacterium,59,Bifidobacterium,Bifidobacterium
s022898,EBF,Blautia,2,Blautia,Blautia
s022898,EBF,Enterococcus,1,Enterococcus,Enterococcus
s022898,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s022898,EBF,Lactococcus,0,Lactococcus,Lactococcus
s022898,EBF,Streptococcus,4,Streptococcus,Streptococcus
