taxon_id,taxon,log2_fc,clr_difference,mean_rel_non_ebf,mean_rel_ebf,prevalence_non_ebf,prevalence_ebf,p_raw_dacomp (1e+03),p_raw_dacomp (1e+04),p_raw_dacomp (1e+05),p_raw_dacomp (1e+06),p_raw_dacomp (1e+07),p_raw_dacomp + permApprox(U) (1e+03),p_raw_dacomp + permApprox(C) (1e+03),p_adj_dacomp (1e+03),p_adj_dacomp (1e+04),p_adj_dacomp (1e+05),p_adj_dacomp (1e+06),p_adj_dacomp (1e+07),p_adj_dacomp + permApprox(U) (1e+03),p_adj_dacomp + permApprox(C) (1e+03)
Phascolarctobacterium,Phascolarctobacterium,-2.612817315167238,0.04927999565519903,1.649903316110652e-4,2.6136036047964762e-5,0.0223463687150838,0.021333333333333333,0.7842157842157842,0.32596740325967405,0.7814121858781412,0.781008218991781,0.10392618960738104,0.7842157842157842,0.7842157842157842,1,1,1,1,1,1,1
Veillonella,Veillonella,-0.22942514285558774,-0.5412715543674693,0.004955886945956799,0.004227099160032673,0.6201117318435754,0.5066666666666667,0.053946053946053944,0.060993900609939006,0.03542964570354296,0.054852945147054855,0.04089649591035041,0.05618411731617972,0.05618411731617972,0.1575347729193883,0.16351698163516984,0.09676246987530125,0.14868008208914868,0.11871816743852809,0.22257554167563506,0.22257554167563506
Negativicoccus,Negativicoccus,-1.2476246005948115,0.030878780979921805,1.1468226266316499e-4,4.771854914938984e-5,0.05027932960893855,0.04533333333333334,0.7652347652347652,0.8089191080891911,0.6743532564674354,1,0.2888184711181529,0.7652347652347652,0.7652347652347652,1,1,1,1,1,1,1
Dialister,Dialister,-0.585073599501441,0.07141944830362373,8.003011727265234e-5,5.30159183742212e-5,0.18994413407821228,0.2,1,0.3982601739826017,0.3328266717332827,0.5503804496195503,0.899649310035069,1,1,1,1,1,1,1,1,1
Megasphaera,Megasphaera,2.952613613872458,0.04410701647955595,3.586149237551634e-5,2.843633386687649e-4,0.0446927374301676,0.021333333333333333,0.5434565434565435,0.5631436856314369,0.5609943900560994,0.5616384383615617,0.597957240204276,0.5434565434565435,0.5434565434565435,1,1,1,1,1,0.7971095571095571,0.7971095571095571
Anaeroglobus,Anaeroglobus,-1.821991207029269,0.06977711712315493,2.2332251892149594e-5,5.5990687241205344e-06,0.01675977653631285,0.008,1,0.3184681531846815,0.1049589504104959,NA,NA,1,1,1,1,1,1,1,1,1
Megamonas,Megamonas,-2.4525454536904308,0.07796535510017577,9.375410055643057e-6,8.954639221096629e-7,0.0111731843575419,0.008,1,NA,NA,0.3220816779183221,NA,1,1,1,1,1,1,1,1,1
Streptococcus,Streptococcus,-1.2793449161985115,-0.6398077237309776,0.08099641286533013,0.03336851947005966,1,0.9893333333333333,9.99000999000999e-4,9.999000099990002e-5,8.99991000089999e-5,4.999995000005e-6,1.1499998850000115e-5,4.593413325049906e-11,4.5934130341700565e-11,0.006771006771006771,7.124287571242876e-4,5.322169000532217e-4,3.2999967000033e-5,1.0231665643500102e-4,1.1828039312003508e-9,1.1828038562987896e-9
Lactococcus,Lactococcus,-7.179823880686143,-0.9573574203764201,0.008015469718903427,5.428926349295576e-5,0.3743016759776536,0.18133333333333335,9.99000999000999e-4,9.999000099990002e-5,9.99990000099999e-6,9.99999000001e-7,9.9999990000001e-8,0,1.9118246700912431e-26,0.006771006771006771,7.124287571242876e-4,6.999930000699992e-5,8.7999912000088e-6,9.799999020000097e-7,0,9.845897050969902e-25
Gemella,Gemella,-0.8916605095242207,0.01958066529003394,8.814941050625634e-4,4.746584909626913e-4,0.44692737430167595,0.424,0.46053946053946054,0.7934206579342066,0.5046049539504605,0.1977888022111978,0.23535667646433236,0.46053946053946054,0.46053946053946054,1,1,1,1,1,0.7650897489607168,0.7650897489607168
