taxon_id,taxon,statistic,dacomp (1e+03),dacomp (1e+06),dacomp (1e+07),dacomp + permApprox(C) (1e+03)
Streptococcus,Streptococcus,16.66,0.006771006771006771,3.2999967000033e-5,1.0231665643500102e-4,1.1828038562987896e-9
Lactococcus,Lactococcus,28.84,0.006771006771006771,8.7999912000088e-6,9.799999020000097e-7,9.845897050969902e-25
Enterococcus,Enterococcus,75.64,0.006771006771006771,8.7999912000088e-6,9.799999020000097e-7,2.3443045181461925e-94
Terrisporobacter,Terrisporobacter,20.92,0.006771006771006771,0.0632358315010106,0.0016764998323500167,0.0019625341556488898
Intestinibacter,Intestinibacter,48.86,0.006771006771006771,8.7999912000088e-6,9.799999020000097e-7,3.097467341100874e-14
[Clostridium]_innocuum_group,[Clostridium]_innocuum_group,32.17,0.006771006771006771,3.2999967000033e-5,1.0901427481285824e-4,3.947319037070169e-7
Bifidobacterium,Bifidobacterium,36.76,0.006771006771006771,8.7999912000088e-6,9.799999020000097e-7,2.5015569651182674e-5
[Ruminococcus]_gnavugroup,[Ruminococcus]_gnavugroup,32.23,0.006771006771006771,8.7999912000088e-6,9.799999020000097e-7,4.97147096615408e-7
Blautia,Blautia,20.75,0.006771006771006771,5.227494772505227e-4,0.001290610982050013,9.172451226388714e-5
uncultured18,uncultured18,13.31,0.012787212787212787,0.0031872968127031874,0.0029650304727277216,0.05060633443351132
[Ruminococcus]_torquegroup,[Ruminococcus]_torquegroup,8.52,0.018163654527290893,0.02719118709452719,0.0029650304727277216,0.0964488876856056
Clostridium_sensu_strict1,Clostridium_sensu_strict1,8.04,0.03396603396603397,0.038327649172350826,0.0035277639329378925,0.05483446052270642
Collinsella,Collinsella,6.42,0.041358641358641354,0.07257768932707258,0.0029650304727277216,0.07091591222335569
Tyzzerella,Tyzzerella,4.47,0.12497026782741068,0.001883998116001884,6.798374320162568e-4,0.17490234148447517
Sellimonas,Sellimonas,3.58,0.15342990342990342,0.02113972886027114,0.007759972557336078,0.16236706939516132
