method,taxon,log2_fc,mean_rel_non_ebf,mean_rel_ebf,p_raw,p_adj
dacomp + permApprox(U) (1e+03),Lactococcus,-7.18,0.00802,5.43e-5,0.00e+00,0.00e+00
dacomp + permApprox(U) (1e+03),Enterococcus,-1.86,0.0568,0.0156,0.00e+00,0.00e+00
dacomp + permApprox(C) (1e+03),Enterococcus,-1.86,0.0568,0.0156,2.28e-96,2.34e-94
dacomp + permApprox(C) (1e+03),Lactococcus,-7.18,0.00802,5.43e-5,1.91e-26,9.85e-25
dacomp + permApprox(C) (1e+03),Intestinibacter,-2.52,0.00593,0.00103,9.02e-16,3.10e-14
dacomp + permApprox(U) (1e+03),Intestinibacter,-2.52,0.00593,0.00103,9.02e-16,3.10e-14
dacomp + permApprox(C) (1e+03),Streptococcus,-1.28,0.081,0.0334,4.59e-11,1.18e-09
dacomp + permApprox(U) (1e+03),Streptococcus,-1.28,0.081,0.0334,4.59e-11,1.18e-09
dacomp + permApprox(U) (1e+03),[Clostridium]_innocuum_group,-3.23,0.00819,8.71e-4,1.92e-08,3.95e-07
dacomp + permApprox(C) (1e+03),[Clostridium]_innocuum_group,-3.23,0.00819,8.71e-4,1.92e-08,3.95e-07
dacomp + permApprox(U) (1e+03),[Ruminococcus]_gnavugroup,-1.59,0.0411,0.0136,2.90e-08,4.97e-07
dacomp + permApprox(C) (1e+03),[Ruminococcus]_gnavugroup,-1.59,0.0411,0.0136,2.90e-08,4.97e-07
dacomp (1e+07),Lactococcus,-7.18,0.00802,5.43e-5,1.00e-07,9.80e-07
dacomp (1e+07),Intestinibacter,-2.52,0.00593,0.00103,1.00e-07,9.80e-07
dacomp (1e+07),Enterococcus,-1.86,0.0568,0.0156,1.00e-07,9.80e-07
dacomp (1e+07),[Ruminococcus]_gnavugroup,-1.59,0.0411,0.0136,1.00e-07,9.80e-07
dacomp (1e+07),Bifidobacterium,0.29,0.56,0.687,1.00e-07,9.80e-07
dacomp (1e+06),Lactococcus,-7.18,0.00802,5.43e-5,1.00e-06,8.80e-06
dacomp (1e+06),Intestinibacter,-2.52,0.00593,0.00103,1.00e-06,8.80e-06
dacomp (1e+06),Enterococcus,-1.86,0.0568,0.0156,1.00e-06,8.80e-06
dacomp (1e+06),[Ruminococcus]_gnavugroup,-1.59,0.0411,0.0136,1.00e-06,8.80e-06
dacomp (1e+06),Bifidobacterium,0.29,0.56,0.687,1.00e-06,8.80e-06
dacomp + permApprox(C) (1e+03),Bifidobacterium,0.29,0.56,0.687,1.70e-06,2.50e-05
dacomp + permApprox(U) (1e+03),Bifidobacterium,0.29,0.56,0.687,1.70e-06,2.50e-05
dacomp (1e+06),[Clostridium]_innocuum_group,-3.23,0.00819,8.71e-4,5.00e-06,3.30e-05
dacomp (1e+06),Streptococcus,-1.28,0.081,0.0334,5.00e-06,3.30e-05
dacomp + permApprox(U) (1e+03),Blautia,-1.7,0.0347,0.0107,7.12e-06,9.17e-05
dacomp + permApprox(C) (1e+03),Blautia,-1.7,0.0347,0.0107,7.12e-06,9.17e-05
dacomp (1e+05),Lactococcus,-7.18,0.00802,5.43e-5,1.00e-05,7.00e-05
dacomp (1e+05),[Clostridium]_innocuum_group,-3.23,0.00819,8.71e-4,1.00e-05,7.00e-05
dacomp (1e+05),Intestinibacter,-2.52,0.00593,0.00103,1.00e-05,7.00e-05
dacomp (1e+05),Enterococcus,-1.86,0.0568,0.0156,1.00e-05,7.00e-05
dacomp (1e+05),Blautia,-1.7,0.0347,0.0107,1.00e-05,7.00e-05
dacomp (1e+05),[Ruminococcus]_gnavugroup,-1.59,0.0411,0.0136,1.00e-05,7.00e-05
dacomp (1e+05),Bifidobacterium,0.29,0.56,0.687,1.00e-05,7.00e-05
dacomp (1e+07),Streptococcus,-1.28,0.081,0.0334,1.15e-05,1.02e-04
dacomp (1e+07),[Clostridium]_innocuum_group,-3.23,0.00819,8.71e-4,1.46e-05,1.09e-04
dacomp (1e+05),Terrisporobacter,-3.2,7.32e-4,7.86e-5,3.00e-05,2.00e-04
dacomp (1e+06),Blautia,-1.7,0.0347,0.0107,8.20e-05,5.23e-04
dacomp (1e+05),Streptococcus,-1.28,0.081,0.0334,9.00e-05,5.32e-04
dacomp (1e+07),Tyzzerella,-5.38,0.00346,8.21e-5,9.96e-05,6.80e-04
dacomp (1e+04),Lactococcus,-7.18,0.00802,5.43e-5,1.00e-04,7.12e-04
dacomp (1e+04),[Clostridium]_innocuum_group,-3.23,0.00819,8.71e-4,1.00e-04,7.12e-04
dacomp (1e+04),Intestinibacter,-2.52,0.00593,0.00103,1.00e-04,7.12e-04
dacomp (1e+04),Enterococcus,-1.86,0.0568,0.0156,1.00e-04,7.12e-04
