taxon_id,d.wass,d.wass^2,d.comp^2,d.comp,location,size,shape,rho,pval,p.ad.gpd,N.exc,gpd.shape,perc.loc,perc.size,perc.shape,decomp.error,p.zero,p.combined,p.adj.nonzero,p.adj.zero,p.adj.combined,n_nonzero_group1,n_nonzero_group2,n_group1,n_group2,zero_prevalence_estimate,zero_prevalence_z,taxon,p_permapprox_unconstrained,p_permapprox_constrained,p_combined_permapprox_unconstrained,p_combined_permapprox_constrained,p_adj_permapprox_unconstrained,p_adj_permapprox_constrained,p_adj_combined_permapprox_unconstrained,p_adj_combined_permapprox_constrained,fisher_statistic_permapprox_constrained,method_used_unconstrained,method_used_constrained,shape_permapprox_unconstrained,shape_permapprox_constrained,scale_permapprox_unconstrained,scale_permapprox_constrained,neglog10_p_combined,significance_class,label_taxon
Phascolarctobacterium,2.5862619385313232,6.688750814695798,6.7936123585631085,2.606455899984327,6.014525487456104,0.038854272031389116,0.7402325990756159,0.8037094248569913,0.023023023023023025,NA,NA,NA,88.53,0.57,10.9,0.015677298612607915,0.9566807121015123,0.10606568822866544,0.11127794461127795,0.9833698130390301,0.23705747689181197,4,8,179,375,-0.03184537588444925,-0.0543193037156068,Phascolarctobacterium,0.024,0.024,0.10961235138231416,0.10961235138231416,0.11599999999999999,0.11599999999999999,0.23735056390954787,0.23735056390954787,7.5479740519986684,empirical,empirical,NA,NA,NA,NA,0.960140505751744,not_significant,Phascolarctobacterium
Veillonella,0.21882078982221936,0.0478825380584199,0.047677721895486996,0.21835228850526617,0.015792218655641364,0.003154598052352425,0.02873090518749321,0.9952106853671924,0.8288288288288288,NA,NA,NA,33.12,6.62,60.26,0.004277470895193924,0.028759076772656843,0.11290191708139694,0.8912987061135209,0.13344211622512775,0.23705747689181197,111,190,179,375,-0.4184574708977995,-2.1867732369817383,Veillonella,0.829,0.829,0.1129203105485209,0.1129203105485209,0.8914814814814815,0.8914814814814815,0.23735056390954787,0.23735056390954787,7.472673943162404,empirical,empirical,NA,NA,NA,NA,0.9472279361457033,not_significant,Veillonella
Negativicoccus,1.387083920957166,1.9240018037779054,1.9192756605289998,1.3853792479061464,1.7859647092887427,0.05642611397455686,0.07688483726570028,0.9740546140559826,0.025025025025025027,NA,NA,NA,93.05,2.94,4.01,0.0024564131071111994,0.9806991311454508,0.11552833368204629,0.11611611611611612,0.9833698130390301,0.23713710597893714,9,17,179,375,-0.010068001634210514,-0.024192410276467152,Negativicoccus,0.026,0.026,0.11905477179518255,0.11905477179518255,0.1202962962962963,0.1202962962962963,0.2443755842111642,0.2443755842111642,7.338296606996722,empirical,empirical,NA,NA,NA,NA,0.9242531930958495,not_significant,Negativicoccus
Dialister,0.3185395565522487,0.10146744908850325,0.10555198234644034,0.3248876457276274,0.04312508236996161,0.04839819345066801,0.014028706525810713,0.9890503051099648,0.16416416416416416,NA,NA,NA,40.86,45.85,13.29,0.04025461657535545,0.5199412901553984,0.29541000341347945,0.41999446254765405,0.7240055132061447,0.43750595442249485,34,75,179,375,0.15073639830710678,0.6434366742009987,Dialister,0.165,0.165,0.2964783826099483,0.2964783826099483,0.4220425531914894,0.4220425531914894,0.43908823753625253,0.43908823753625253,4.911698364819233,empirical,empirical,NA,NA,NA,NA,0.5280069672422936,not_significant,Dialister
Megasphaera,1.7951241990050741,3.222470889853609,3.4960538353906907,1.8697737390900244,1.3073902710944825,1.9145317615687132,0.2741318027274948,0.9384678537580241,0.26926926926926925,NA,NA,NA,37.4,54.76,7.84,0.08489850021562484,0.19167977823618845,0.20459439188426715,0.5294107666989023,0.38027900067805803,0.35257167599446104,8,8,179,375,-0.6433956112222377,-1.3055287885353124,Megasphaera,0.27,0.27,0.20500935468043746,0.20500935468043746,0.5308474576271187,0.5308474576271187,0.3527366837883998,0.3527366837883998,5.922524881975166,empirical,empirical,NA,NA,NA,NA,0.6882263214154587,not_significant,Megasphaera
Anaeroglobus,0.5119988451401475,0.26214281742484474,0.349908178787312,0.5915303701309951,0.08711412191625514,0.11708094735861785,0.14571310951243902,0.9765918953185131,1,NA,NA,NA,24.9,33.46,41.64,0.3347997943435137,0.46884100510214316,0.8239841171019007,1,0.6798194573981076,0.8684897251624261,3,3,179,375,-0.546106992440271,-0.7242184590707534,Anaeroglobus,1,1,0.8239841171019007,0.8239841171019007,1,1,0.8685237991074087,0.8685237991074087,1.5149831526463218,empirical,empirical,NA,NA,NA,NA,0.08408115956681789,not_significant,Anaeroglobus
Megamonas,1.8897466758929664,3.5711424990485163,3.6020792194439535,1.8979144394423983,3.5000102121403533,0.08511455993918306,0.016954447364417282,0.7423934980391668,0.09309309309309309,NA,NA,NA,97.17,2.36,0.47,0.008662975617377278,0.8586322312278779,0.2818883580802928,0.2768922768922769,0.9372561509256367,0.43395970914992443,2,3,179,375,-0.14764702562181872,-0.17809034682501126,Megamonas,0.094,0.094,0.2838520160146933,0.2838520160146933,0.2795897435897436,0.2795897435897436,0.4369827088647252,0.4369827088647252,5.033750162651961,empirical,empirical,NA,NA,NA,NA,0.5469080169187602,not_significant,Megamonas
Streptococcus,0.6044055299671445,0.36530604465486477,0.36603534290297124,0.6050085477933111,0.3289151997288684,0.024452273407506796,0.012667869766596044,0.996697769957845,1.6634008151531026e-10,0.08416626166243424,250,-0.10097438487118274,89.86,6.68,3.46,0.001996403450688966,0.29418978661960565,1.2106908794695856e-9,6.712605779865852e-9,0.48272590098919305,4.7216944299313836e-8,179,371,179,375,-1.508635845209672,-1.0491533587212394,Streptococcus,7.478608483872236e-7,7.478608472844651e-7,3.5927200676821563e-6,3.59272006270893e-6,1.4458643068819655e-5,1.4458643047499658e-5,5.2543530989851536e-5,5.25435309171181e-5,30.659158193021433,gpd,gpd,NA,NA,NA,NA,5.444576620801783,combined_bh_significant,Streptococcus
Lactococcus,2.5466189278785736,6.485267963829416,6.546595657588968,2.55863159864584,2.6883930864810837,3.1287776998203074,0.7294248712875766,0.7884614618464184,3.3246653785868076e-6,0.12482316333377237,250,-0.024740717893191412,41.07,47.79,11.14,0.009456462570490265,8.102214581568087e-6,6.825204914112952e-10,4.285124265734108e-5,9.398568914618981e-4,3.992744874756077e-8,67,68,179,375,-0.9633375611914641,-4.462451345060006,Lactococcus,2.307658921219861e-5,2.307659214721448e-5,4.3751447360649325e-9,4.3751452687413686e-9,2.676884348615039e-4,2.6768846890768794e-4,1.2797298352989928e-7,1.2797299911068502e-7,44.800129819364386,gpd,gpd,NA,NA,NA,NA,8.359007522443868,combined_bh_significant,Lactococcus
Gemella,0.3100479780884613,0.09612974871674297,0.09595559832539806,0.3097670065152163,0.011824373185226283,0.01240180002425651,0.07172942511591526,0.9761100268733514,0.4184184184184184,NA,NA,NA,12.32,12.92,74.75,0.0018116180856569963,0.8086213324038491,0.7050026332088299,0.664884062144336,0.9263658848071046,0.7781632838248407,80,159,179,375,-0.04488540249359062,-0.2422049858218236,Gemella,0.419,0.419,0.7055119471818847,0.7055119471818847,0.6658082191780821,0.6658082191780821,0.7787254511347218,0.7787254511347218,2.1646177985681385,empirical,empirical,NA,NA,NA,NA,0.15149562747840079,not_significant,Gemella
Staphylococcus,0.4224159930635191,0.17843527119583905,0.17846015886299885,0.42244545075429424,0.15321328778772578,4.0571891001752125e-4,0.024841152165255547,0.9933960631072679,0.03903903903903904,NA,NA,NA,85.85,0.23,13.92,1.3947728491681133e-4,0.01262091565592428,0.0042449752063115145,0.15615615615615616,0.08376614123745559,0.020419732555758206,103,249,179,375,0.48735824903492064,2.4942910880651477,Staphylococcus,0.04,0.04,0.004337190636144097,0.004337190636144097,0.16,0.16,0.02029805217715437,0.02029805217715437,15.182551386864755,empirical,empirical,NA,NA,NA,NA,2.362791488525463,not_significant,Staphylococcus
Turicibacter,0.5062883371993652,0.2563278803840981,0.25880774864871764,0.5087315093924473,0.23967711889157797,0.00436461143197582,0.014766018325163844,0.9775767486629418,0.0890890890890891,NA,NA,NA,92.61,1.69,5.71,0.009674594355103094,0.40170583745832483,0.15496583642468784,0.2768922768922769,0.6131299624363906,0.2924355300272335,10,13,179,375,-0.357967243004833,-0.8385554728904625,Turicibacter,0.09,0.09,0.15618253597994014,0.15618253597994014,0.2795897435897436,0.2795897435897436,0.2947315598331129,0.2947315598331129,6.63996162897812,empirical,empirical,NA,NA,NA,NA,0.8063675296877288,not_significant,Turicibacter
Granulicatella,1.0481883885644325,1.0986988979213017,1.11492008916257,1.0558977645409473,0.6749661868026396,0.2947894001620924,0.1451645021978379,0.9387269818363458,0.0920920920920921,NA,NA,NA,60.54,26.44,13.02,0.014764000648365139,0.008920711828383821,0.0066579389626836806,0.2768922768922769,0.06983661993980864,0.02996072533207656,14,9,179,375,-1.116742962260032,-2.6148976297927757,Granulicatella,0.093,0.093,0.006715438578630929,0.006715438578630929,0.2795897435897436,0.2795897435897436,0.030219473603839184,0.030219473603839184,14.189070640029481,empirical,empirical,NA,NA,NA,NA,2.1729256187273016,not_significant,Granulicatella
