SampleID,delta_k
s025647,0.0017317637271795983
s023779,0.0016693535215531374
s026625,0.001515468600840228
s022898,0.0019244384367714644
s022897,0.0020905642181251686
s028386,0.0018465218073683595
s023716,0.0016730228125739388
s021517,0.0013733176502257554
s021703,0.0021091724268072374
s022787,0.0030766639714867264
s027576,0.0016009856096440393
s024828,0.0022260684565750194
s028162,0.0015539160873226361
s022232,0.0020511029176611367
s026135,0.0013702620772807245
s026440,0.001035667629844634
s023225,0.002009787474909431
s025269,0.001659335412034929
s027852,0.0018078620879144417
s027078,0.002941990668270262
s023179,0.0014860316272230438
s028972,0.0019429490415209996
s025044,0.001693771340284948
s021317,0.0021452911369354293
s021923,0.0015435334608010598
s024892,0.0014596964257429512
s029001,0.0018377989543412712
s021931,0.002378890592781257
s021400,0.0020252555495382588
s024280,0.0019697867321743024
s029985,0.0036062599989385167
s024301,0.0027520170325118303
s026048,0.0020093591936828285
s021300,0.001631162285685324
s022639,0.0020601601938053096
s022844,0.001725385375371504
s028273,0.0014850126418628421
s025531,0.001395090285890603
s025738,0.0025101890179110796
s022799,0.0013040739962761412
s023972,0.0017231430759938244
s024476,0.0021724815317870324
s029469,0.0018107012778593328
s024464,0.001441318375247348
s026905,0.0014744096699164746
s026517,0.0020524447763041022
s029830,0.0019135789256008492
s026017,0.0016233850622481923
s021768,0.0012378677702733034
s028258,0.0022429284212159457
s025156,0.001174207696658003
s026018,0.0025490640674439334
s023827,0.0013294466385480644
s028790,0.002310616411735832
s027530,0.0015560327776910085
s026882,0.001767746808290125
s025568,0.001931120247669553
s027339,0.0020670697807768966
s021412,0.0013228477702165744
s026522,0.0016166032664977571
s028181,0.0019371548389268143
s026840,0.001485601013839693
s026069,0.0016522701686266857
s025437,0.0016605070365994438
s029672,0.002628000983566895
s021915,0.0019309360811264917
s023781,0.00225540745680183
s023904,0.001411718249895426
s025969,0.0036632177261088847
s023975,0.002642328945422561
s021759,0.0018252696770706634
s025735,0.0018753856134802415
s024067,0.002159214307135071
s024684,0.0025024045973733432
s022988,0.002076452301836194
s026328,0.0016846679778203747
s028559,0.002180126967226679
s023426,0.0010271144739066914
s021801,0.001779417355009136
s027440,0.0017176064573538122
s025818,0.0013817863798031682
s025760,0.0032947214303734136
s022291,0.0015829051691404004
s027961,0.002023773524348949
s027770,0.0023496489232072383
s027791,0.0011619183401099125
s028011,0.0015699903949804102
s021014,0.0014000187302891736
s025403,0.0015748359068180873
s026903,0.0019956072996252577
s028861,0.0019012582986956419
s029486,0.002045624607212399
s027197,0.0017052690636935042
s029928,0.0013960842517605476
s021684,0.0022864082863476294
s022292,0.0013603180443560615
s023684,0.0018081685993202787
s028708,0.0017703428073722282
s026387,0.0032110941413490738
s029185,0.0013105858977328286
s022273,0.006354887143484049
s022822,0.0013932595926949955
s023038,0.0024589541965707217
s022137,0.0013458485108130283
s023934,0.001621572830512976
s022375,0.002054597451347784
s029307,0.0021059386037342535
s021611,0.0011081472820588028
s025976,0.0021257703162521494
s026264,0.0019153565335015266
s028248,0.0013515584548314315
s024616,0.0035602691593481202
s028451,0.0013234267120695105
s021820,0.0012778975498963807
s022654,0.002189671804089527
s026209,0.003141687737744603
s026788,0.002868516527122103
s028068,0.0018810450132548515
s029427,0.00245552159867838
s028978,0.0021547642994595847
s023919,0.001615502998601671
s022548,0.0018889079344065547
s026169,0.003698510464887131
s029487,0.0014436625624341351
s024748,0.002075183303714713
s021452,0.001285866745010367
s029417,0.0017811152966150262
s025469,0.001762253717828779
s024565,0.0014453148246857308
s022573,0.001660730275894262
s024580,0.003085551346483931
s024715,0.002655827497717391
s028095,0.0020015111380229963
s029502,0.00159075619081164
s021701,0.001668730614226089
s027687,0.0019061094936411256
s029774,0.002721351987610236
s029041,0.0025460261256566225
s029387,0.0013964689106505978
s027437,0.0014883149841366885
s026969,0.0020385276389316667
s024923,0.0015861813071817539
s029957,0.003334183861088299
s024087,0.001406784157294887
s028514,0.00150092231178114
s024904,0.0026220245248439926
s025559,9.651155053932947e-4
s029295,0.0012441758610020814
