taxon,prevalence,n_samples_present,keep
uncultured1,0.0016891891891891893,1,FALSE
Acidaminococcus,0.0016891891891891893,1,FALSE
Phascolarctobacterium,0.02195945945945946,13,FALSE
Veillonella,0.5506756756756757,326,TRUE
Negativicoccus,0.04391891891891892,26,FALSE
1_Veillonellaceae(F),0.0033783783783783786,2,FALSE
uncultured3,0.0016891891891891893,1,FALSE
Dialister,0.19594594594594594,116,TRUE
Megasphaera,0.03209459459459459,19,FALSE
Anaeroglobus,0.013513513513513514,8,FALSE
Mitsuokella,0.0033783783783783786,2,FALSE
Megamonas,0.013513513513513514,8,FALSE
Tumebacillus,0.0033783783783783786,2,FALSE
Effusibacillus,0.0033783783783783786,2,FALSE
Paenibacillus,0.0016891891891891893,1,FALSE
Streptococcus,0.9932432432432432,588,TRUE
Floricoccus,0.0016891891891891893,1,FALSE
Lactococcus,0.23817567567567569,141,TRUE
Gemella,0.4358108108108108,258,TRUE
Macrococcus,0.005067567567567568,3,FALSE
Staphylococcus,0.6385135135135135,378,TRUE
Bacillus,0.005067567567567568,3,FALSE
Turicibacter,0.03885135135135135,23,FALSE
Pontibacillus,0.0033783783783783786,2,FALSE
Caldalkalibacillus,0.0016891891891891893,1,FALSE
Geobacillus,0.0033783783783783786,2,FALSE
Sporosarcina,0.0016891891891891893,1,FALSE
Aeribacillus,0.0033783783783783786,2,FALSE
Pseudogracilibacillus,0.008445945945945946,5,FALSE
Anoxybacillus,0.0016891891891891893,1,FALSE
uncultured4,0.0016891891891891893,1,FALSE
Oceanobacillus,0.0033783783783783786,2,FALSE
Granulicatella,0.04222972972972973,25,FALSE
Enterococcus,0.902027027027027,534,TRUE
Dolosigranulum,0.07094594594594594,42,FALSE
Lactobacillus,0.5422297297297297,321,TRUE
Pediococcus,0.0016891891891891893,1,FALSE
Weissella,0.005067567567567568,3,FALSE
Leuconostoc,0.03547297297297297,21,FALSE
Mogibacterium,0.005067567567567568,3,FALSE
Family_XIII_AD3011_group,0.015202702702702704,9,FALSE
Terrisporobacter,0.09121621621621621,54,FALSE
Paeniclostridium,0.016891891891891893,10,FALSE
Intestinibacter,0.6097972972972973,361,TRUE
Clostridioides,0.08783783783783784,52,FALSE
Peptostreptococcus,0.011824324324324325,7,FALSE
Romboutsia,0.46283783783783783,274,TRUE
Holdemania,0.005067567567567568,3,FALSE
Anaeroplasma,0.0016891891891891893,1,FALSE
Solobacterium,0.033783783783783786,20,FALSE
Holdemanella,0.08108108108108109,48,FALSE
Faecalicoccus,0.016891891891891893,10,FALSE
Faecalitalea,0.02364864864864865,14,FALSE
[Clostridium]_innocuum_group,0.42567567567567566,252,TRUE
Dielma,0.0016891891891891893,1,FALSE
Catenibacterium,0.005067567567567568,3,FALSE
Coprobacillus,0.011824324324324325,7,FALSE
Erysipelotrichaceae_UCG-003,0.5608108108108109,332,TRUE
Erysipelatoclostridium,0.893581081081081,529,TRUE
Peptococcus,0.006756756756756757,4,FALSE
Eubacterium,0.04054054054054054,24,FALSE
Christensenellaceae_R-7_group,0.018581081081081082,11,FALSE
Stenotrophomonas,0.010135135135135136,6,FALSE
Acidibacter,0.0016891891891891893,1,FALSE
Pseudomonas,0.02364864864864865,14,FALSE
Halomonas,0.033783783783783786,20,FALSE
Neisseria,0.005067567567567568,3,FALSE
8_Comamonadaceae(F),0.013513513513513514,8,FALSE
Delftia,0.03885135135135135,23,FALSE
Sutterella,0.030405405405405407,18,FALSE
Parasutterella,0.006756756756756757,4,FALSE
Bordetella,0.0033783783783783786,2,FALSE
Haemophilus,0.35135135135135137,208,TRUE
Aggregatibacter,0.005067567567567568,3,FALSE
9_Pasteurellaceae(F),0.010135135135135136,6,FALSE
Enhydrobacter,0.0033783783783783786,2,FALSE
Acinetobacter,0.057432432432432436,34,FALSE
Peredibacter,0.0016891891891891893,1,FALSE
Campylobacter,0.005067567567567568,3,FALSE
Bilophila,0.03885135135135135,23,FALSE
Leptotrichia,0.0016891891891891893,1,FALSE
Fusobacterium,0.0472972972972973,28,FALSE
Azospirillum,0.0016891891891891893,1,FALSE
uncultured8,0.0016891891891891893,1,FALSE
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.005067567567567568,3,FALSE
Mesorhizobium,0.0016891891891891893,1,FALSE
Chthonobacter,0.0016891891891891893,1,FALSE
Paracoccus,0.008445945945945946,5,FALSE
Bradyrhizobium,0.0016891891891891893,1,FALSE
Brevundimonas,0.02195945945945946,13,FALSE
11_Caulobacteraceae(F),0.0016891891891891893,1,FALSE
Skermanella,0.0016891891891891893,1,FALSE
Akkermansia,0.4983108108108108,295,TRUE
uncultured9,0.0016891891891891893,1,FALSE
Blastococcus,0.011824324324324325,7,FALSE
Corynebacterium,0.23479729729729729,139,TRUE
Mycobacterium,0.0016891891891891893,1,FALSE
Lawsonella,0.02027027027027027,12,FALSE
Cutibacterium,0.033783783783783786,20,FALSE
Actinomyces,0.6537162162162162,387,TRUE
Varibaculum,0.11824324324324324,70,TRUE
Cellulomonas,0.0016891891891891893,1,FALSE
Tropheryma,0.0033783783783783786,2,FALSE
Dermabacter,0.030405405405405407,18,FALSE
Brachybacterium,0.0016891891891891893,1,FALSE
Actinotignum,0.011824324324324325,7,FALSE
Actinobaculum,0.008445945945945946,5,FALSE
Trueperella,0.0016891891891891893,1,FALSE
Dermacoccus,0.0016891891891891893,1,FALSE
Nocardiopsis,0.0016891891891891893,1,FALSE
Kocuria,0.006756756756756757,4,FALSE
Micrococcus,0.0033783783783783786,2,FALSE
Rothia,0.625,370,TRUE
Streptomyces,0.005067567567567568,3,FALSE
Parabacteroides,0.1875,111,TRUE
Macellibacteroides,0.0016891891891891893,1,FALSE
Dysgonomonas,0.008445945945945946,5,FALSE
Porphyromonas,0.011824324324324325,7,FALSE
12_Tannerellaceae(F),0.0033783783783783786,2,FALSE
Barnesiella,0.005067567567567568,3,FALSE
Coprobacter,0.011824324324324325,7,FALSE
Alistipes,0.07432432432432433,44,FALSE
Cloacibacterium,0.0033783783783783786,2,FALSE
Rikenellaceae_RC9_gut_group,0.0016891891891891893,1,FALSE
Butyricimonas,0.0016891891891891893,1,FALSE
Odoribacter,0.005067567567567568,3,FALSE
RF39,0.008445945945945946,5,FALSE
TM7x,0.0016891891891891893,1,FALSE
Chlamydia,0.0016891891891891893,1,FALSE
Gordonibacter,0.033783783783783786,20,FALSE
Paraeggerthella,0.0016891891891891893,1,FALSE
Senegalimassilia,0.10135135135135136,60,TRUE
Adlercreutzia,0.0033783783783783786,2,FALSE
Enterorhabdus,0.008445945945945946,5,FALSE
Eggerthella,0.34797297297297297,206,TRUE
CHKCI002,0.0033783783783783786,2,FALSE
Slackia,0.018581081081081082,11,FALSE
Cryptobacterium,0.0033783783783783786,2,FALSE
uncultured12,0.0016891891891891893,1,FALSE
Raoultibacter,0.0016891891891891893,1,FALSE
uncultured13,0.0033783783783783786,2,FALSE
Atopobium,0.14189189189189189,84,TRUE
